127.0.0.1 - - [10/Jul/2020:08:58:21 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [10/Jul/2020:11:17:32 +0900] "GET /education/day5/mission1/ch3.png HTTP/1.1" 200 11744
0:0:0:0:0:0:0:1 - - [10/Jul/2020:11:19:25 +0900] "GET /education/day5/mission1/mission1_q.html HTTP/1.1" 200 3634
0:0:0:0:0:0:0:1 - - [10/Jul/2020:11:19:25 +0900] "GET /education/day5/resources/jquery-3.5.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:11:19:25 +0900] "GET /education/ch14/elt.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:11:20:59 +0900] "GET /education/day5/mission1/mission1_q.html HTTP/1.1" 200 3488
0:0:0:0:0:0:0:1 - - [10/Jul/2020:11:21:00 +0900] "GET /education/day5/mission1/mission1_q.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:11:21:00 +0900] "GET /education/day5/mission1/mission1_q.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:11:21:00 +0900] "GET /education/day5/mission1/mission1_q.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:11:21:45 +0900] "GET /education/day5/mission1/mission1_q.html HTTP/1.1" 200 3361
0:0:0:0:0:0:0:1 - - [10/Jul/2020:11:21:46 +0900] "GET /education/day5/mission1/mission1_q.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:11:21:46 +0900] "GET /education/day5/mission1/mission1_q.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:11:21:47 +0900] "GET /education/day5/mission1/mission1_q.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:11:21:51 +0900] "GET /education/day5/mission1/mission1_q.html HTTP/1.1" 200 3369
0:0:0:0:0:0:0:1 - - [10/Jul/2020:11:21:52 +0900] "GET /education/day5/mission1/mission1_q.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:11:21:54 +0900] "GET /education/day5/mission1/mission1_q.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:11:21:55 +0900] "GET /education/day5/mission1/mission1_q.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:11:21:55 +0900] "GET /education/day5/mission1/mission1_q.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:11:21:55 +0900] "GET /education/day5/mission1/mission1_q.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:11:21:59 +0900] "GET /education/day5/mission1/mission1_q.html HTTP/1.1" 200 3370
0:0:0:0:0:0:0:1 - - [10/Jul/2020:11:22:25 +0900] "GET /education/day5/mission1/mission1_q.html HTTP/1.1" 200 3321
0:0:0:0:0:0:0:1 - - [10/Jul/2020:11:22:27 +0900] "GET /education/day5/mission1/mission1_q.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:11:23:07 +0900] "GET /education/day5/mission1/mission1_q.html HTTP/1.1" 200 3332
0:0:0:0:0:0:0:1 - - [10/Jul/2020:11:23:08 +0900] "GET /education/day5/mission1/mission1_q.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:11:23:08 +0900] "GET /education/day5/mission1/mission1_q.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:11:23:08 +0900] "GET /education/day5/mission1/mission1_q.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:11:23:09 +0900] "GET /education/day5/mission1/mission1_q.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:11:23:09 +0900] "GET /education/day5/mission1/mission1_q.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:11:23:09 +0900] "GET /education/day5/mission1/mission1_q.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:11:23:15 +0900] "GET /education/day5/mission1/mission1_q.html HTTP/1.1" 200 3333
0:0:0:0:0:0:0:1 - - [10/Jul/2020:11:23:16 +0900] "GET /education/day5/mission1/mission1_q.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:11:23:16 +0900] "GET /education/day5/mission1/mission1_q.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:11:23:17 +0900] "GET /education/day5/mission1/mission1_q.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:11:23:17 +0900] "GET /education/day5/mission1/mission1_q.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:11:24:40 +0900] "GET /education/day5/mission1/mission1_q.html HTTP/1.1" 200 3179
0:0:0:0:0:0:0:1 - - [10/Jul/2020:11:24:41 +0900] "GET /education/day5/mission1/mission1_q.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:11:24:42 +0900] "GET /education/day5/mission1/mission1_q.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:11:24:43 +0900] "GET /education/day5/mission1/mission1_q.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:11:24:43 +0900] "GET /education/day5/mission1/mission1_q.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:11:25:13 +0900] "GET /education/day5/mission1/mission1_q.html HTTP/1.1" 200 3187
0:0:0:0:0:0:0:1 - - [10/Jul/2020:11:25:14 +0900] "GET /education/day5/mission1/mission1_q.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:11:25:37 +0900] "GET /education/day5/mission1/mission1_q.html HTTP/1.1" 200 3189
0:0:0:0:0:0:0:1 - - [10/Jul/2020:11:25:38 +0900] "GET /education/day5/mission1/mission1_q.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:11:25:39 +0900] "GET /education/day5/mission1/mission1_q.html HTTP/1.1" 304 -
